"id","name","abbreviation","capital_id"
"12","Acre","AC","1200401"
"27","Alagoas","AL","2704302"
"16","Amapá","AP","1600303"
"13","Amazonas","AM","1302603"
"29","Bahia","BA","2927408"
"23","Ceará","CE","2304400"
"53","Distrito Federal","DF","5300108"
"32","Espírito Santo","ES","3205309"
"52","Goiás","GO","5208707"
"21","Maranhão","MA","2111300"
"51","Mato Grosso","MT","5103403"
"50","Mato Grosso do Sul","MS","5002704"
"31","Minas Gerais","MG","3106200"
"15","Pará","PA","1501402"
"25","Paraíba","PB","2507507"
"41","Paraná","PR","4106902"
"26","Pernambuco","PE","2611606"
"22","Piauí","PI","2211001"
"33","Rio de Janeiro","RJ","3304557"
"24","Rio Grande do Norte","RN","2408102"
"43","Rio Grande do Sul","RS","4314902"
"11","Rondônia","RO","1100205"
"14","Roraima","RR","1400100"
"42","Santa Catarina","SC","4205407"
"35","São Paulo","SP","3550308"
"28","Sergipe","SE","2800308"
"17","Tocantins","TO","1721000"